,id,ico_id,ico_symbol,date,open,close,low,high,created_at,updated_at,volume,btc_open,btc_close,btc_low,btc_high,value_from_coinmarketcap,currency
8,4924,3306,ETH,2018-01-11 00:00:00,1290.0100097656,1247.0,1207.6099853516,1386.9899902344,2019-05-19 19:43:02,2019-05-19 19:43:02,,,,,,0,USD
9,4925,3306,ETH,2018-01-12 00:00:00,1247.0,1137.0100097656,1083.9699707031,1335.0,2019-05-19 19:43:02,2019-05-19 19:43:02,,,,,,0,USD
10,4926,3306,ETH,2018-01-13 00:00:00,1137.0100097656,1260.0,1089.0,1285.0,2019-05-19 19:43:02,2019-05-19 19:43:02,,,,,,0,USD
11,4927,3306,ETH,2018-01-14 00:00:00,1260.0,1386.0100097656,1259.9899902344,1419.9599609375,2019-05-19 19:43:02,2019-05-19 19:43:02,,,,,,0,USD
12,4928,3306,ETH,2018-01-15 00:00:00,1386.0200195312,1365.4599609375,1256.0100097656,1389.1099853516,2019-05-19 19:43:02,2019-05-19 19:43:02,,,,,,0,USD
13,4929,3306,ETH,2018-01-16 00:00:00,1365.4599609375,1278.6300048828,1267.0100097656,1380.9699707031,2019-05-19 19:43:02,2019-05-19 19:43:02,,,,,,0,USD
148,28293,3306,ETH,2018-01-17 00:00:00,1276.0999755859,1017.5999755859,867.0,1280.0,2019-05-27 16:40:39,2019-05-27 16:40:39,,,,,,0,USD
149,28294,3306,ETH,2018-01-18 00:00:00,1017.5999755859,1020.0999755859,770.0,1088.3000488281,2019-05-27 16:40:39,2019-05-27 16:40:39,,,,,,0,USD
150,28295,3306,ETH,2018-01-19 00:00:00,1021.5,993.9199829102,940.0,1079.0,2019-05-27 16:40:39,2019-05-27 16:40:39,,,,,,0,USD
151,28296,3306,ETH,2018-01-20 00:00:00,993.8699951172,1032.5999755859,960.0,1079.0,2019-05-27 16:40:39,2019-05-27 16:40:39,,,,,,0,USD
195,52232,3306,ETH,2018-01-21 00:00:00,1037.4499511719,1150.0200195312,1036.0799560547,1164.9699707031,2019-05-29 14:54:55,2019-05-29 14:54:55,,,,,,0,USD
196,52233,3306,ETH,2018-01-22 00:00:00,1150.0200195312,1047.1300048828,1010.0100097656,1151.0,2019-05-29 14:54:55,2019-05-29 14:54:55,,,,,,0,USD
197,52234,3306,ETH,2018-01-23 00:00:00,1047.1300048828,999.6799926758,917.0,1080.0,2019-05-29 14:54:55,2019-05-29 14:54:55,,,,,,0,USD
198,52235,3306,ETH,2018-01-24 00:00:00,999.6900024414,984.0300292969,905.0,1019.0,2019-05-29 14:54:55,2019-05-29 14:54:55,,,,,,0,USD
199,52236,3306,ETH,2018-01-25 00:00:00,984.0300292969,1056.9899902344,952.0,1056.9899902344,2019-05-29 14:54:55,2019-05-29 14:54:55,,,,,,0,USD
200,52237,3306,ETH,2018-01-26 00:00:00,1056.9799804688,1040.0,1014.8800048828,1098.7399902344,2019-05-29 14:54:55,2019-05-29 14:54:55,,,,,,0,USD
201,52238,3306,ETH,2018-01-27 00:00:00,1040.0,1045.5799560547,987.5399780273,1071.75,2019-05-29 14:54:55,2019-05-29 14:54:55,,,,,,0,USD
343,76397,3306,ETH,2018-01-28 00:00:00,1045.5799560547,1100.0,1029.2900390625,1119.0,2019-06-05 16:58:52,2019-06-05 16:58:52,,,,,,0,USD
344,76398,3306,ETH,2018-01-29 00:00:00,1100.0,1215.0100097656,1087.9399414062,1224.0,2019-06-05 16:58:52,2019-06-05 16:58:52,,,,,,0,USD
345,76399,3306,ETH,2018-01-30 00:00:00,1215.0100097656,1162.2800292969,1137.1999511719,1221.7399902344,2019-06-05 16:58:52,2019-06-05 16:58:52,,,,,,0,USD
346,76400,3306,ETH,2018-01-31 00:00:00,1162.2800292969,1054.3900146484,1025.0,1171.0,2019-06-05 16:58:52,2019-06-05 16:58:52,,,,,,0,USD
347,76401,3306,ETH,2018-02-01 00:00:00,1054.4000244141,1105.0100097656,1013.25,1121.0300292969,2019-06-05 16:58:52,2019-06-05 16:58:52,,,,,,0,USD
924,100683,3306,ETH,2018-02-02 00:00:00,1105.0100097656,1017.4799804688,930.0,1143.0,2019-06-10 12:44:23,2019-06-10 12:44:23,,,,,,0,USD
