username,date,hashtags,mentions,retweets,favorites,text
mr1ch4l,2020-08-18 22:50:06+00:00,,,0,0,$TWT Trust Wallet Token Got mine 
czymeq,2020-08-18 15:37:55+00:00,#BNB #BNB,@cctip_io,36,5, Airdrop : Trust Wallet (Round 2) Reward: 100 TWT (~$10) Referral: 125 TWT (~$15) Market: Binance Exchange Join Trust Wallet: http://bit.ly/TrustW Install Trust Wallet To get 100 TWT tokens for reward ! Done BNB cctip_io airdrop 16000000 CRU 80
ini_crypto,2020-08-17 22:29:29+00:00,#Eljaboom,,0,0,$BNB Binance Chain Based $TWT TWT Trust Wallet Token Address : bnb1j98jnfrgm7kqd066utrd886n4me33yvl6m3jwz Eljaboom
NWR19866224,2020-08-17 20:07:35+00:00,#cryptocurrency,,0,0,Proposal for Listing Trust Wallet Token (TWT) on Binance DEX | Binance Chain Forum $TWT cryptocurrency 
LilMoonLambo,2020-08-17 12:31:38+00:00,,,0,12,The Trust Wallet Token $TWT winners have been selected! Congrats to:
sp37462,2020-08-17 11:36:15+00:00,,,0,1,I have 2 friends refer but I didn't get twt token. Plz help me. My trust wallet address: bnb1xhsydhnmf8f4nj5xvdje3g0fk4ysle6ft5dgl7
sp37462,2020-08-17 11:35:05+00:00,,,0,1,I have 2 friends refer but I didn't get twt token. Plz help me. My trust wallet address: bnb1xhsydhnmf8f4nj5xvdje3g0fk4ysle6ft5dgl7
sp37462,2020-08-17 11:34:27+00:00,,,0,0,I have 2 friends refer but I didn't get twt token. Plz help me. My trust wallet address: bnb1xhsydhnmf8f4nj5xvdje3g0fk4ysle6ft5dgl7 
AngbandjiC,2020-08-17 11:28:35+00:00,,,0,2,TWT is a Trust wallet token but why can't we buy on the trust wallet?
AngbandjiC,2020-08-17 11:27:22+00:00,,,0,0,TWT is a Trust wallet token but why can't we buy on the trust wallet?
AngbandjiC,2020-08-17 11:27:01+00:00,,@TrustWalletApp,0,0,TrustWalletApp TWT is a Trust wallet token but why can't we buy on the trust wallet?
czymeq,2020-08-17 10:29:15+00:00,#BNB #BNB,@cctip_io,29,8, Airdrop : Trust Wallet (Round 2) Reward: 100 TWT (~$10) Referral: 125 TWT (~$15) Market: Binance Exchange Join Trust Wallet: http://bit.ly/TrustW Install Trust Wallet To get 100 TWT tokens for reward ! Done BNB cctip_io airdrop 16000000 CRU 80
nbprt,2020-08-17 07:55:17+00:00,#TWT #BTC #BTC #DeFi #Ethereum #Binance #Binance #GEM #SRM #Link #chainlink,@binance @cz_binance,0,1,Trust Wallet Token ( $TWT) will be listed on binance soon. cz_binance TWT BTC DeFi Ethereum Binance GEM SRM Link chainlink
RussellJ_R,2020-08-17 07:25:09+00:00,,,0,0,$TWT Trust Wallet Token 
nbprt,2020-08-17 07:14:21+00:00,#TWT #BTC #BTC #DeFi #Ethereum #Binance #Binance #GEM #SRM #Link #chainlink,@binance @cz_binance,0,0,Trust Wallet Token ( $TWT) will be listed on binance soon. cz_binance TWT BTC DeFi Ethereum Binance GEM SRM Link chainlink
nbprt,2020-08-17 07:13:09+00:00,#TWT #BTC #BTC #DeFi #Ethereum #Binance #Binance #GEM #SRM #Link #chainlink,@binance @cz_binance,0,0,Trust Wallet Token ( $TWT) will be listed on binance soon. cz_binance TWT BTC DeFi Ethereum Binance GEM SRM Link chainlink
nbprt,2020-08-17 07:08:52+00:00,#TWT #BTC #BTC #DeFi #Ethereum #Binance #Binance #GEM #SRM #Link #chainlink,@binance @cz_binance,0,0,Trust Wallet Token ( $TWT) will be listed on binance soon. cz_binance TWT BTC DeFi Ethereum Binance GEM SRM Link chainlink
nbprt,2020-08-17 07:08:40+00:00,#TWT #BTC #BTC #DeFi #Ethereum #Binance #Binance #GEM #SRM #Link #chainlink,@binance @cz_binance,0,0,Trust Wallet Token ( $TWT) will be listed on binance soon. cz_binance TWT BTC DeFi Ethereum Binance GEM SRM Link chainlink
Kennykhoo18,2020-08-17 03:17:04+00:00,,@cctip_io,7,5, Airdrop : Trust Wallet (Round 2) ★Reward: 100 TWT (~$10) ★Referral: 100 TWT (~$10) Market:Binance Stock Exchange approved Install Trust Wallet To get 100 TWT tokens for reward ! Done cctip_io airdrop 120000 RTGS 80 Join Link :
Accretia101,2020-08-17 01:48:46+00:00,,,0,1,"TWT Trust Wallet Token Price Trust Wallet Token Price$0.056849 All-Time High$0.062664 -9.1% Aug 15, 2020 (1 day) All-Time Low$0.00277641 1950.6% Jun 09, 2020 (2 months)"
olajide09,2020-08-16 11:45:53+00:00,#twt,,1,1,But twt (trust wallet token) and hodl...you will never regret you do so
guncutedogs,2020-08-16 07:54:36+00:00,#DeFi #Binance #Binance,@cz_binance,0,6,"Trust Wallet (TWT) 31/7 - 0,006$15/8 - 0,06$31/8 - 0,6$Trust Wallet was acquired by binance in 2018. Now has 5 million regular users, they are entering DeFi with the backing of cz_binance.Providing current circulation of around 370 million tokens. Binance Soon $TWT "
Kennykhoo18,2020-08-16 03:19:09+00:00,,@cctip_io,6,2, Airdrop : Trust Wallet (Round 2) ★Reward: 100 TWT (~$10) ★Referral: 100 TWT (~$10) Market:Binance Stock Exchange approved Install Trust Wallet To get 100 TWT tokens for reward ! Done cctip_io airdrop 120000 RTGS 80 Join Link : https://share.trustwallet.com/mijV625
